domain,category,h_index
http://130.179.67.140/,social,0
http://amsacta.unibo.it/,economic,0
http://amsacta.unibo.it/,social,1
http://archive.sciendo.com/,economic,0
http://archive.sciendo.com/,social,0
http://bordar.bournemouth.ac.uk/,social,0
http://cssp.chemspider.com/,economic,0
http://cssp.chemspider.com/,social,0
http://curation.hsrc.ac.za/,economic,1
http://curation.hsrc.ac.za/,social,1
http://cxidb.org/,economic,0
http://cxidb.org/,social,0
http://data.sciencespo.fr/,economic,0
http://data.sciencespo.fr/,social,1
http://data.utm.csic.es/,economic,0
http://data.utm.csic.es/,social,0
http://datadoi.ee/,social,0
http://digital.ucd.ie/,economic,0
http://digital.ucd.ie/,social,0
http://eprints.lincoln.ac.uk/,social,0
http://esdcdoi.esac.esa.int/,economic,0
http://esdcdoi.esac.esa.int/,social,0
http://gigadb.org/,social,0
http://ijomeh.eu/,economic,0
http://ijomeh.eu/,social,0
http://ipt.vertnet.org/,social,0
http://irep.ntu.ac.uk/,economic,0
http://irep.ntu.ac.uk/,social,0
http://open-science.ub.ovgu.de/,economic,0
http://open-science.ub.ovgu.de/,social,0
http://opendata.pku.edu.cn/,social,0
http://pubs.asha.org/,economic,1
http://pubs.asha.org/,social,2
http://pubsonline.informs.org/,economic,1
http://pubsonline.informs.org/,social,5
http://reactome.org/,social,0
http://research-data.urosario.edu.co/,social,0
http://scitation.org/,economic,0
http://scitation.org/,social,0
http://sead-published.ncsa.illinois.edu/,social,0
http://sedici.unlp.edu.ar/,social,0
http://www.boldsystems.org/,social,0
http://www.cellimagelibrary.org/,social,0
http://www.epigraphiclandscape.unito.it/,social,0
http://www.homepages.ucl.ac.uk/,social,0
http://www.internano.org/,economic,0
http://www.internano.org/,social,1
http://www.isc.ac.uk/,social,1
http://www.scitation.org/,economic,0
http://www.scitation.org/,social,0
https://a2e.energy.gov/,economic,0
https://a2e.energy.gov/,social,0
https://access.clarivate.com/,economic,1
https://access.clarivate.com/,social,0
https://access.portico.org/,economic,0
https://access.portico.org/,social,0
https://account.wolfram.com/,social,0
https://acuresearchbank.acu.edu.au/,social,0
https://adc.arm.gov/,economic,0
https://adc.arm.gov/,social,0
https://alaska.usgs.gov/,social,0
https://ameriflux.lbl.gov/,social,3
https://aperta.ulakbim.gov.tr/,economic,0
https://aperta.ulakbim.gov.tr/,social,0
https://api.odp.saeon.ac.za/,economic,0
https://api.odp.saeon.ac.za/,social,0
https://aquila.usm.edu/,social,0
https://archaeology.datastations.nl/,social,0
https://archaeologydataservice.ac.uk/,social,0
https://archive.data.jhu.edu/,economic,0
https://archive.data.jhu.edu/,social,1
https://archive.materialscloud.org/,economic,0
https://archive.materialscloud.org/,social,0
https://arcticdata.io/,social,0
https://auckland.figshare.com/,social,0
https://aurora.auburn.edu/,social,0
